a, 工
ith, 省
itk, 洛
itm, 澳
itn, 憋
ito, 潘
itp, 泛
itq, 鳖
its, 涤
itx, 海
ity, 敝
ity, 汷
ity, 㳊
iub, 溯
iuc, 滚
iug, 泣
iuh, 洋
iuh, 㳯
iuj, 漳
iuk, 涪
ius, 澜
iuw, 溢
iux, 滋
iva, 溉
ivf, 当
ivg, 汝
ivk, 沼
ivl, 淄
ivn, 氿
ivp, 浸
ivs, 染
ivw, 梁
ivy, 涩
ivy, 泿
iwb, 沧
iwc, 没
iwe, 脊
iwg, 洽
iwk, 沿
iwn, 㲹
iwu, 氼
iwv, 汾
iww, 浴
iwx, 沦
iwy, 淮
iwy, 汃
iwy, 汄
ixg, 澠
ixj, 沸
ixt, 涨
ixu, 溺
ixw, 潍
iyb, 淳
iyc, 流
iyg, 注
iyj, 济
iyn, 沪
iyo, 湾
iyr, 漓
iyt, 洲
iyt, 汸
iyu, 滴
iyv, 浪
iyw, 液
iyy, 汶
jag, 虹
jah, 蚜
jaj, 蜡
jaj, 㫒
jan, 蝶
jat, 晓
jaw, 暴
jbc, 最
jbf, 㫗
jbg, 虸
jbn, 虵
jby, 蚾
jce, 肾
jcf, 坚
jcg, 蚂
jcm, 贤
jcn, 蚆
jcu, 竖
jcx, 紧
jde, 蝴
jdf, 晨
jdg, 蛄
jdg, 䖨
jdh, 蚌
jdu, 旲
jef, 冐
jeg, 明
jeg, 蚏
jel, 盟
jen, 蚝
jet, 㫑
jfc, 野
jfd, 里
jff, 蛙
jff, 圼
jfg, 蚶
jfh, 旰
jfh, 旪
jfh, 虷
jfj, 旱
jft, 暑
jfy, 时
jfy, 昧
jfy, 䖞
jge, 晴
jgf, 旦
jgg, 旺
jgg, 蚟
jgh, 题
jgj, 量
jgk, 晤
jgm, 师
jgy, 蚨
jgy, 㫙
jhf, 冒
jhf, 㫔
jhh, 刂
jhk, 申
jhn, 畅
jhy, 虲
jig, 晃
jja, 曝
jjf, 昌
jjg, 昍
jjg, 蚎
jjj, 晶
jjq, 蝎
jjy, 䖵
jkj, 蝇
jkm, 蜗
jlc, 曼
jlf, 蛊
jlf, 昷
jlh, 蛼
jlh, 䖬
jlk, 蛔
jlx, 螺
jmd, 映
jmg, 蚰
jmh, 帅
jmj, 旵
jmy, 蛽
jng, 蛡
jnh, 暇
jnn, 虬
jnt, 曳
jnv, 电
jof, 显
jot, 旷
jou, 炅
jou, 㫧
joy, 炚
jpj, 螟
jpl, 晕
jpx, 蛇
jqb, 昂
jqk, 冕
jqr, 易
jqw, 遏
jrg, 蚯
jrh, 昕
jrh, 蚚
jsd, 颗
jsg, 晒
jsh, 虰
jsi, 果
jsr, 晰
jsu, 杲
jsy, 晡
jsy, 蚞
jsy, 蜅
jtd, 蜂
jtf, 蛛
jtg, 星
jth, 昨
jtm, 晌
jtr, 蛾
jtx, 晦
jty, 览
juf, 昱
juh, 蛘
juj, 暗
juk, 蜕
juu, 昗
jvb, 旯
jvf, 妟
jvg, 归
jvk, 昭
jvt, 旫
jvt, 虭
jvy, 蛝
jwg, 蛤
jwi, 㬰
jwn, 虮
jxb, 㫐
jxg, 蠅
jxx, 昆
jyg, 蛀
jyi, 景
jyr, 蚁
jyr, 昘
jyt, 昉
jyt, 蚄
jyu, 旻
jyy, 蚊
jyy, 旼
kag, 叿
kah, 呀
kaj, 噶
kar, 哎
kaw, 哄
kbf, 咠
kbg, 吇
kbg, 咡
kbh, 叩
kbn, 吼
kbn, 吔
kbs, 啊
kby, 吸
kcb, 邑
kcc, 嗓
kcg, 吗
kcn, 吧
kcq, 吮
kct, 唉
kcw, 唆
kcy, 叹
kdg, 咕
kdh, 嘎
kdm, 顺
kdu, 㕦
kdw, 嘶
kdx, 咙
kdy, 吠
kef, 肙
keg, 咀
kej, 别
kek, 咖
kel, 嚼
ken, 㕰
keq, 鹃
ker, 另
ket, 叻
kfa, 喷
kfc, 吱
kff, 哇
kfg, 吐
kfg, 咁
kfh, 叶
kfj, 嘲
kfk, 嘻
kfl, 鄙
kfp, 噎
kft, 哮
kfy, 味
kfy, 吋
kgb, 吨
kgd, 吴
kge, 啄
kgf, 呈
kgg, 㕵
kgg, 㕶
kgh, 吓
kgn, 号
kgo, 哑
kgp, 逞
kgy, 呋
kha, 距
khc, 踊
khd, 跨
khe, 啃
khf, ⻊
khg, 践
khh, 趾
khi, 踏
khj, 踢
khk, 中
khl, 盅
khm, 蹦
khn, 忠
kho, 嘘
khp, 踪
khq, 跑
kht, 路
khu, 足
khv, 跟
khw, 趴
khx, 嘴
khy, 卟
kie, 哨
kit, 吵
kjf, 哩
kjh, 呻
kjj, 唱
kjq, 喝
kju, 虽
kkc, 骂
kkd, 器
kkf, 吕
kkg, 吅
kkh, 串
kkk, 品
kkw, 咒
kld, 咽
klf, 嘿
klg, 喂
klg, 呬
klh, 呷
klh, 唓
kma, 嗣
kmb, 郧
kmd, 喘
kme, 勋
kmh, 吊
kmu, 员
kmu, 員
kmw, 呐
kmy, 呗
kmy, 唄
kng, 叼
knh, 叫
knt, 嘱
knt, 㕧
knx, 呢
kny, 吣
kos, 嘛
koy, 咪
koy, 吙
kpg, 喧
kpt, 喀
kqb, 兄
kqg, 鸣
kqg, 唫
kqm, 唤
kqn, 咆
kqq, 哆
kqr, 吻
kqw, 吹
krg, 㕷
krh, 听
kri, 史
krr, 啪
krt, 啤
kru, 啦
ksg, 哂
ksh, 叮
ksj, 喳
ksk, 呵
ksu, 呆
ksy, 哺
ksy, 㕲
kta, 噬
ktg, 唾
kth, 咱
ktk, 咯
ktm, 响
ktn, 吃
ktr, 哦
ktu, 呼
kty, 呚
kty, 咊
kug, 㕸
kuh, 咩
kuh, 㖕
kur, 咬
kvh, 啸
kvn, 㕤
kvr, 叧
kvt, 叨
kvy, 哏
kwb, 呛
kwc, 嗡
kwf, 咐
kwg, 哈
kwn, 叽
kwu, 只
kwv, 吩
kwx, 哗
kwy, 叭
kwy, 㕥
kxn, 叱
kxq, 哟
kxy, 吆
kxy, 呣
kyb, 哼
kyg, 唁
kyk, 嚷
kyn, 咏
kyp, 嚎
kyt, 㕫
kyu, 啼
kyw, 吭
kyy, 呅
lak, 㘟
lbd, 囝
lca, 轻
lcc, 轰
lci, 囜
lci, 㘝
ldd, 固
ldf, 罟
ldg, 轱
ldg, 軲
ldi, 因
ldn, 恩
lds, 畸
ldt, 畴
ldy, 畎
ldy, 軑
ldy, 轪
lee, 㘞
lef, 胃
leg, 䢁
len, 軞
ler, 男
let, 㽖
let, 䡃
lfc, 罢
lff, 畦
lfh, 轩
lfh, 軒
lfi, 団
lfj, 䍐
lfk, 辕
lfn, 转
lfo, 黑
lfq, 园
lft, 团
lgb, 囤
lgd, 囯
lge, 畏
lgg, 軖
lgk, 辐
lgm, 辆
lgn, 车
lgy, 国
lgy, 畉
lgy, 䡍
lhd, 罪
lhj, 罩
lhk, 㐃
lhn, 皿
lii, 囦
liu, 眔
liu, 軣
ljx, 辊
lkb, 辑
lkd, 回
lkf, 軎
lkh, 甽
lkh, 䡅
lkm, 圆
llf, 畕
llg, 䡒
llh, 䡛
llk, 㘡
lll, 田
lmg, 轴
lmg, 軸
lmh, 軕
lmu, 買
lna, 辗
lnd, 囙
lng, 翈
lnn, 轧
lnn, 軋
lnu, 思
lou, 䍘
lpd, 辖
lpk, 连
lpk, 連
lqg, 鸭
lqj, 蜀
lqp, 逻
lqu, 罗
lqw, 软
lrf, 堑
lrh, 斩
lrh, 斬
lrj, 暂
lsh, 町
lsi, 困
lsi, 圃
lsj, 甼
lsu, 䍒
lsy, 辅
lsy, 輔
ltd, 轿
lti, 囷
ltk, 略
ltu, 图
lty, 畋
lug, 畔
lug, 䢂
lur, 较
lvd, 囡
lvf, 婁
lvf, 㚻
lvn, 轨
lvn, 軌
lwg, 输
lwi, 囚
lwj, 界
lwn, 䡄
lwx, 轮
lwy, 㽗
lxi, 累
lxx, 毗
lyc, 辙
lyd, 圁
lyf, 詈
lyj, 罚
mad, 曲
maf, 㞬
mag, 屸
mak, 冊
maw, 典
may, 戝
mbb, 㕀
mbg, 㞨
mbh, 邮
mbh, 邖
mbh, 郥
mbn, 貤
mbr, 㞧
mbt, 屷
mby, 岥
mby, 貱
mcb, 岜
mci, 禸
mcw, 峻
mde, 贿
mdf, 岩
mdg, 岵
mdi, 央
mdl, 盎
mdo, 炭
mdq, 鸯
mdr, 屵
mds, 崎
med, 髓
mee, 崩
mef, 骨
mef, 胄
mef, 冑
meg, 岄
men, 㲘
mer, 屴
mey, 骸
mfd, 冉
mfd, 冃
mfd, 冄
mff, 峙
mff, 亗
mfh, 屽
mfk, 周
mfk, 曱
mfn, 赎
mfq, 嵌
mft, 财
mga, 贱
mgk, 同
mgn, 屿
mgu, 峡
mhg, 幅
mhh, 帧
mhj, 帽
mhk, 巾
mhn, 冂
mhr, 帕
mht, 帐
mhu, 幢
mhw, 帆
mie, 峭
miu, 汖
mjf, 㞱
mjh, 则
mjh, 則
mjq, 赐
mjv, 岿
mkd, 冋
mlh, 岬
mlr, 崭
mmf, 峀
mmg, 岫
mmh, 屾
mmm, 山
mmr, 岗
mmv, 婴
mmy, 賏
mnb, 岂
mnb, 㐕
mnn, 屺
mnn, 乢
mnv, 囘
mnw, 凯
mof, 赃
mpd, 迪
mpd, 廸
mpf, 崇
mpg, 贮
mpi, 䢙
mpk, 辿
mpu, 㞫
mqb, 见
mqc, 购
mqd, 赡
mqf, 崟
mqg, 崯
mqu, 岁
mrc, 贩
mrg, 岴
mrg, 岶
mrh, 岓
mri, 冈
mri, 罓
mrj, 刚
mrr, 网
msy, 峬
msy, 䝵
mta, 账
mtd, 峰
mtk, 赂
mtn, 屹
mtp, 贬
mtr, 峨
mtv, 巍
mty, 败
mty, 敗
muf, 岦
muh, 㟄
muj, 峷
muk, 赔
mul, 赠
muv, 赚
mvr, 屶
mvu, 峎
mwf, 赊
mwi, 内
mwn, 㞦
mwu, 㞤
mww, 肉
mwy, 崔
mxx, 幽
mxy, 㟂
myd, 丹
mye, 彤
myf, 訔
myu, 㞵
myy, 㞶
nae, 展
nag, 羾
naj, 异
naj, 羿
nan, 屉
nat, 懂
nav, 民
naw, 殿
nay, 慌
nbc, 慑
nbd, 㞌
nbh, 邔
nbh, 䣁
nbm, 屈
nbn, 忚
nbt, 敢
nby, 怶
nby, 翍
ncd, 惨
ncf, 怪
nci, 㞋
ncv, 㞎
nda, 惰
ndd, 居
ndg, 怙
ndh, 怀
ndj, 剧
ndm, 怖
ndn, 忧
ndo, 恢
ndy, 忕
neb, 毣
net, 忇
nev, 尾
nfa, 愤
nfc, 层
nfd, 懦
nff, 恃
nfg, 㤌
nfh, 慎
nfh, 忓
nfi, 慰
nfi, 屚
nfk, 卂
nfp, 迅
nft, 屠
nfu, 导
nfy, 忖
nfy, 怽
ngb, 那
ngc, 屋
ngd, 刁
nge, 情
ngf, 䍿
ngg, 忹
ngh, 怔
ngj, 恒
ngk, 司
ngk, 丮
nhd, 眉
nhd, ⺪
nhg, 丑
nhi, 疋
nhj, 蛋
nhk, 丩
nht, 收
nhw, 惧
nhy, 疏
nie, 悄
nig, 恍
nii, 尿
nii, 氹
nit, 犀
njf, 悍
njl, 慢
njq, 惕
njt, 惺
nkf, 吢
nku, 臂
nla, 翼
nld, 乪
nld, 屇
nlg, 怬
nlr, 惭
nmd, 届
nmg, 恫
nmg, 怞
nmh, 刷
nmi, 屃
nmi, 屓
nmj, 㞯
nnd, 毋
nng, 己
nnh, 书
nnk, 局
nnl, 乙
nnn, 忆
nnn, 忋
nnu, 忌
nnv, 乜
nnw, 快
nny, 羽
nny, 㤈
noh, 惦
noi, 屎
nov, 屡
npe, 迉
npq, 忱
nqe, 懈
nqg, 惍
nrf, 習
nrg, 怕
nrh, 忻
nrn, 忾
nrq, 愧
nsg, 恓
nsh, 忊
nsi, 杘
nsk, 懒
nsy, 悑
nsy, 䎍
ntb, 悸
ntc, 发
ntd, 恬
nte, 必
ntg, 性
ntj, 虱
ntk, 属
ntl, 恤
ntm, 懊
ntt, 履
ntx, 悔
nty, 改
nty, 攺
nua, 屏
nud, 习
nud, 㞐
nuf, 翌
nug, 翋
nug, 㥃
nui, 飞
nuj, 惮
nuk, 悦
nuk, 屖
nul, 憎
nuy, 悯
nva, 慨
nvg, 妀
nvt, 忉
nvv, 尻
nvy, 恨
nwe, 戮
nwg, 愉
nwi, 乆
nwi, 夬
nwv, 凥
nwy, 惟
nxg, 憴
nxm, 惯
nxv, 尼
nxx, 屁
nyi, 尺
nyi, 乄
nyi, 㣺
nyj, 昼
nyn, 忙
nyp, 迟
nyr, 恼
nyt, 㤃
nyu, 尽
nyw, 翠
nyy, 忟
oac, 度
oag, 灴
oag, 䉺
oai, 㡲
oaj, 灷
oam, 席
oan, 炬
oao, 庶
oat, 烧
oaw, 粪
obg, 籽
obh, 邝
obh, 邺
obh, 邩
obn, 灺
oca, 烃
oci, 広
ocn, 粑
ode, 糊
odg, 炻
odg, 䊀
odi, 庆
odm, 烦
odu, 类
odx, 庞
oeg, 粗
oeh, 㶲
oen, 粍
ofd, 庄
ofg, 灶
ofg, 粓
ofg, 㶰
ofh, 籵
ofh, 㶥
ofs, 煤
oft, 烤
ofy, 籿
oge, 精
ogj, 粳
ogm, 炳
ohh, 业
ohk, 店
oig, 应
oit, 炒
oiu, 黹
oja, 爆
ojf, 焊
ojh, 灲
ojy, 烛
okk, 燥
okw, 炽
old, 烟
olf, 畨
olg, 畑
olh, 炠
olk, 库
olk, 庘
olk, 庫
omd, 庙
omg, 粙
omh, 灿
omh, 籼
omk, 炯
onb, 㐘
oni, 応
onr, 断
ont, 废
onw, 炔
ony, 烬
ooo, 火
oou, 炎
oov, 糖
ooy, 炏
opf, 烷
opi, 迷
opw, 熔
oqa, 底
oqb, 灮
oqd, 燃
oqe, 焰
oqm, 焕
oqn, 炮
oqw, 炊
oqy, 灼
oqy, 㶤
ord, 烯
org, 粕
orh, 炘
orh, 䉼
ork, 庍
osg, 粞
osh, 灯
osi, 床
osi, 庯
osk, 庁
oss, 麻
osy, 炑
osy, 烳
osy, 䊇
otd, 烽
otf, 糙
oth, 炸
otk, 烙
otn, 烁
oty, 敉
oty, 炇
oty, 秌
oud, 烂
oud, 㡴
ouf, 料
oug, 粒
ouh, 烊
ouk, 庠
ouv, 廉
ovb, 㶢
ove, 庸
ovf, 娄
ovg, 籹
ovh, 唐
ovi, 康
ovi, 㡾
ovt, 数
ovt, 灱
ovw, 庚
owf, 府
owi, 庂
own, 籶
owv, 粉
oww, 座
oxv, 庀
oxx, 庇
oyb, 廓
oyd, 㢇
oyg, 广
oyn, 炉
oyt, 米
oyv, 粮
oyw, 炕
oyy, 炆
pah, 宦
paj, 寞
pam, 宽
paw, 寒
pbf, 字
pbj, 㝋
pcu, 㝊
pdc, 宏
pde, 寡
pdf, 宕
pdf, 㝒
pdh, 豁
pds, 寄
pdu, 宊
pdx, 宠
peb, 宒
pef, 肎
peg, 宜
pei, 农
pfi, 宗
pfq, 完
pfu, 守
pgc, 室
pge, 家
pgf, 宇
pgf, 㝉
pgh, 定
pgj, 宣
pgk, 富
pgm, 寅
pgn, 写
pgy, 宝
phi, 寂
phu, 㓀
pie, 宵
piu, 㲾
pjd, 幂
pjh, 审
pjm, 寓
pjv, 宴
pkk, 宫
plj, 军
plj, 軍
pmf, 宙
pmj, 冚
pnf, 官
pnt, 密
pnw, 寥
pny, 廴
pou, 灾
pou, 冞
pou, 宩
ppp, 之
ppu, 㝎
pqb, 宛
pqk, 冤
pqv, 冘
prw, 宾
psj, 宁
psu, 宋
pta, 宅
ptf, 宪
ptg, 牢
ptk, 客
pub, 被
pud, 实
pue, 衫
pug, 袜
puh, 补
puj, 宰
pum, 袖
puo, 裤
puq, 袍
pus, 襟
put, 袄
puu, 宍
puv, 初
puw, 裕
pvb, 宄
pvf, 安
pvs, 案
pwa, 空
pwb, 冗
pwb, 宂
pwd, 突
pwe, 穷
pwf, 罕
pwg, 窥
pwk, 窝
pwm, 帘
pwn, 窟
pwt, 窗
pwu, 穴
pwu, 㓁
pwv, 究
pww, 容
pwy, 鹤
pxb, 它
pxb, 宆
pyb, 祁
pyd, 祷
pye, 祖
pyf, 社
pyf, 㝘
pyg, 福
pyj, 神
pyk, 祝
pym, 视
pyn, 冖
pyr, 祈
pyr, 㝑
pyu, 祥
pyv, 禄
qag, 釭
qaj, 错
qal, 锚
qav, 氏
qay, 鈛
qbc, 镊
qbg, 铒
qbg, 釨
qbg, 鉺
qbh, 钌
qbh, 卬
qbh, 夘
qbh, 邜
qbh, 釕
qbl, 锰
qbn, 怨
qbn, 夗
qbn, 釶
qbp, 迎
qbq, 鸳
qbt, 釢
qby, 铍
qby, 鈹
qcb, 色
qci, 勾
qcn, 钯
qcn, 鈀
qdb, 危
qdg, 钴
qdg, 鈷
qdg, 鉐
qdo, 然
qdr, 厃
qdt, 铸
qdu, 镣
qdw, 詹
qdy, 釱
qef, 臽
qeg, 钥
qeg, 鈅
qej, 角
qet, 钐
qet, 釛
qet, 釤
qev, 解
qfd, 勻
qfg, 钳
qfg, 钍
qfg, 釷
qfg, 鉗
qfh, 针
qfh, 針
qfh, 釬
qfh, 㚈
qfl, 镭
qft, 锗
qga, 钱
qgb, 印
qgd, 鸟
qgf, 鱼
qgh, 舛
qgj, 鲁
qgl, 鳃
qgo, 鳞
qgp, 鸵
qgq, 鲍
qgu, 鲜
qgy, 鲸
qgy, 鈇
qhd, 䀏
qhg, 钼
qhg, 鉬
qhg, 䤠
qhj, 亇
qhk, 钻
qhy, 外
qhy, 钋
qhy, 釙
qie, 销
qii, 兆
qim, 锁
qip, 逃
qit, 钞
qiu, 尔
qiu, 淾
qiy, 釥
qjd, 旬
qjg, 鈤
qjh, 钊
qjh, 釗
qjn, 龟
qjq, 锡
qjy, 鉵
qkd, 句
qke, 象
qkf, 名
qkg, 釦
qkh, 钏
qkh, 釧
qkk, 铝
qkm, 锅
qkq, 免
qld, 甸
qlg, 钿
qlg, 鈿
qlh, 钾
qlh, 鉀
qlp, 链
qlq, 锣
qmg, 铀
qmg, 鈾
qmj, 铡
qmk, 岛
qmk, 島
qmr, 钢
qmu, 负
qmu, 負
qmw, 钠
qmy, 钡
qmy, 鋇
qna, 饶
qnb, 饣
qnd, 锯
qne, 馁
qng, 饯
qng, 鈻
qng, 䦀
qnh, 钮
qnj, 蚀
qnk, 馈
qnn, 钇
qnn, 钆
qnn, 釓
qnn, 釔
qnn, 釲
qnp, 馆
qnq, 饮
qnr, 饭
qnt, 饰
qnu, 饼
qnv, 包
qnw, 饥
qny, 鈊
qoa, 镀
qoi, 匊
qoi, 灳
qoi, 烏
qoi, 鳥
qou, 炙
qou, 魚
qoy, 钬
qoy, 鈥
qoy, 銤
qpg, 锭
qqc, 钩
qqg, 鍂
qqi, 匇
qqk, 铭
qqq, 金
qqt, 铆
qqu, 多
qqw, 钦
qqy, 钓
qqy, 釸
qrb, 匈
qre, 勿
qrg, 铂
qrg, 鉑
qrh, 釿
qri, 匁
qrm, 锦
qrn, 忽
qrq, 锨
qry, 匆
qsg, 钵
qsh, 钉
qsh, 釘
qsi, 匍
qsu, 枭
qsu, 梟
qsy, 铺
qsy, 鈢
qsy, 鋪
qta, 猫
qtb, 犯
qtd, 锋
qte, 狙
qtf, 猿
qtg, 铁
qth, 锻
qtj, 独
qtk, 铬
qtm, 狈
qtn, 儿
qtn, 勹
qtn, ⺈
qto, 狄
qtp, 狞
qtq, 狗
qtr, 狐
qts, 獭
qtu, 狡
qtv, 狠
qtw, 猴
qty, 狱
qty, 鉌
qud, 匀
qug, 镁
qug, 鉝
qug, 鍆
quh, 锌
quh, 鋅
quj, 镜
quk, 锐
qun, 钔
qur, 铰
qut, 铲
qux, 锑
qvb, 邹
qvf, 刍
qvg, 钕
qvg, 釹
qvh, 争
qvn, 急
qvn, 釚
qvt, 煞
qvt, 釖
qvv, 勼
qvw, 雏
qvy, 银
qvy, 銀
qwb, 凫
qwb, 鳬
qwi, 勽
qwk, 铅
qwn, 釠
qwu, 欠
qwy, 锥
qwy, 釟
qxv, 匂
qxy, 鉧
qyd, 訇
qye, 铱
qyf, 䚻
qyi, 久
qyi, 勺
qyi, 夊
qyk, 镶
qym, 镐
qyo, 灸
qyt, 钫
qyt, 鈁
qyu, 镑
qyv, 贸
qyy, 鈫
raa, 拭
rab, 皂
rae, 撒
rag, 扛
raj, 措
ral, 描
ran, 拒
rap, 捞
rar, 抠
rat, 挠
raw, 拱
ray, 找
rbc, 报
rbe, 氖
rbg, 挕
rbh, 邱
rbh, 邤
rbh, 㧄
rbi, 拯
rbk, 凶
rbm, 拙
rbn, 扡
rbt, 扔
rby, 披
rca, 氢
rcc, 掇
rcd, 掺
rce, 捅
rcg, 择
rci, 反
rck, 抬
rcn, 把
rcn, 皅
rcp, 返
rct, 挨
rcu, 㿝
rcw, 摊
rcy, 瓜
rcy, 払
rdb, 扼
rdc, 拔
rdf, 挎
rdg, 拓
rdj, 掩
rdm, 希
rdn, 扰
rdp, 挞
rdu, 撩
rdu, 㚖
rdw, 捧
rdx, 拢
rdy, 㧋
rdy, 㧔
ree, 撬
reg, 援
reg, 抈
reg, 㧮
reh, 拥
ren, 㧌
ren, 㿞
rep, 授
ret, 摇
ret, 劤
ret, 劧
ret, 劰
ret, 扐
ret, 㔕
rfc, 技
rff, 持
rfg, 扗
rfg, 拑
rfh, 盾
rfh, 扞
rfj, 皁
rfl, 擂
rfm, 质
rfp, 挝
rfq, 抚
rft, 拷
rfy, 抺
rge, 氰
rgf, 皇
rgg, 撵
rgg, 抂
rgk, 后
rgs, 抹
rgu, 挟
rgv, 捷
rgy, 扶
rhd, 排
rhe, 掳
rhf, 看
rhg, 扯
rhh, 攫
rhj, 掉
rhk, 拈
rhy, 扑
rie, 捎
rip, 撑
rit, 抄
riu, 泉
riv, 挡
rjb, 撮
rjd, 氜
rjf, 捏
rjg, 担
rjg, 抇
rjh, 刈
rjh, 刏
rjk, 氘
rjn, 拽
rjq, 揭
rjt, 揽
rkb, 揖
rke, 捐
rkg, 扣
rkh, 捉
rkk, 氚
rkm, 损
rlf, 摆
rlf, 畠
rlh, 押
rlh, 捙
rls, 捆
rlt, 撂
rmd, 揣
rmg, 抽
rmh, 帛
rmj, 岳
rmk, 氙
rmn, 皑
rmw, 摧
rna, 抿
rnb, 掘
rnd, 据
rng, 握
rng, 挧
rng, 䎅
rnh, 扭
rni, 忥
rnn, 扎
rnn, 癿
rnr, 扬
rnt, 拨
rnu, 㣻
rnw, 抉
rny, 拟
rny, 抋
roh, 掂
roi, 氣
roo, 氮
rot, 扩
rov, 搂
rpd, 迫
rpd, 廹
rpf, 皖
rpk, 近
rpl, 挥
rpr, 摈
rps, 拧
rpv, 按
rpw, 控
rqa, 抵
rqb, 抑
rqb, 皃
rqc, 鬼
rqe, 掐
rqg, 捦
rqi, 挑
rqk, 拘
rqm, 捣
rqn, 抱
rqt, 掏
rqv, 挣
rqw, 欣
rqy, 的
rrc, 扳
rrg, 拍
rrg, 拞
rrg, 㿟
rrh, 折
rrh, 抙
rrh, 斦
rri, 気
rrk, 哲
rrn, 㧉
rrp, 逝
rrq, 掀
rrr, 白
rru, 爻
rry, 拆
rsd, 氥
rsf, 搏
rsg, 拪
rsh, 打
rsj, 刹
rsu, 杀
rsy, 捕
rta, 托
rtb, 拖
rtd, 括
rte, 氕
rtf, 卑
rtg, 气
rth, 丘
rto, 播
rtr, 乒
rtt, 斤
rtt, ⺁
rtu, 搬
rty, 乂
rty, 敀
rty, 㐅
rua, 拼
rud, 拦
ruf, 抖
rug, 拉
rug, 捫
ruj, 撞
ruk, 氧
run, 扪
rut, 搁
ruv, 接
rve, 抛
rvg, 扫
rvi, 氯
rvk, 招
rvn, 殷
rvn, 扏
rvt, 㧅
rvy, 执
rvy, 拫
rwb, 抢
rwc, 投
rwg, 捡
rwu, 兵
rwu, 㒵
rwv, 氛
rww, 挫
rwx, 抡
rwy, 扒
rxb, 皀
rxj, 指
rxn, 㧈
rxx, 批
rxy, 拇
ryc, 撤
ryg, 拄
ryi, 斥
ryj, 挤
ryk, 攘
ryl, 擅
rym, 搞
ryn, 护
ryt, 邀
ryt, 㧍
ryu, 乓
ryw, 抗
ryx, 摔
ryy, 抆
saa, 械
saf, 杢
sag, 杠
sai, 栋
saj, 模
sam, 横
san, 柜
sap, 檬
sar, 枢
sbb, 椰
sbd, 椭
sbf, 李
sbg, 杍
sbg, 栮
sbh, 邒
sbh, 郙
sbh, 䢶
sbn, 杝
sbt, 㭁
sby, 极
sby, 柀
sce, 桶
scf, 树
scn, 杷
scw, 梭
scy, 权
sdg, 枯
sdg, 柘
sdg, 㭅
sdh, 杯
sdm, 顶
sds, 椅
sdt, 梆
sdu, 䙲
sdw, 棋
sdy, 杖
sdy, 杕
sdy, 枤
see, 棚
seg, 桕
seg, 枂
sek, 枷
sen, 枆
set, 杉
set, 朸
sfc, 枝
sff, 桂
sff, 垔
sfg, 杜
sfg, 柑
sfh, 杆
sfi, 标
sfk, 桔
sft, 材
sfu, 尃
sfw, 棱
sfy, 村
sfy, 㭑
sga, 栈
sgc, 酸
sgd, 本
sgd, 酉
sgf, 酣
sgg, 枉
sgh, 丁
sgj, 醒
sgk, 梧
sgm, 槽
sgn, 配
sgo, 醚
sgq, 酌
sgr, 酗
sgt, 酷
sgw, 酚
sgy, 酬
sgy, 枎
shg, 相
shg, 杫
shi, 椒
shn, 想
shy, 朴
sie, 梢
siv, 档
siy, 㭂
sjd, 東
sjf, 杳
sjg, 查
sjj, 覃
sjs, 棵
sjt, 槛
sjx, 棍
skd, 可
skd, 束
skf, 杏
skh, 杊
skp, 速
skq, 赖
sks, 歌
skt, 整
sld, 柬
slf, 盙
slf, 㭗
slg, 柶
slh, 柙
sly, 楞
smg, 柚
smh, 杣
smj, 刺
smm, 樱
sms, 棘
smu, 贾
smu, 賈
smv, 朿
smy, 梖
snb, 乶
snb, 朰
snb, 㐉
sng, 栩
sng, 㭒
snn, 札
snn, 杞
snr, 杨
sny, 杺
sof, 桩
sou, 杰
sou, 粟
sou, 䙳
sov, 楼
spd, 廼
spd, 迺
spf, 棕
spi, 逋
spn, 棺
spq, 枕
sps, 柠
spw, 榨
sqc, 构
sqd, 桅
sqi, 桃
sqk, 橡
sqt, 柳
sqy, 榴
src, 板
srg, 柏
srh, 析
srh, 杽
srm, 棉
srq, 槐
srr, 攀
sry, 檄
ssb, 郴
sse, 彬
ssf, 禁
ssg, 栖
ssh, 朾
ssk, 柯
ssn, 楚
sso, 焚
ssq, 梦
sss, 森
ssu, 栗
ssv, 婪
ssy, 林
ssy, 㭪
std, 桥
stf, 株
sth, 柞
stk, 格
stt, 覆
stu, 䅇
stx, 梅
sty, 枚
sty, 柇
sud, 栏
sug, 柆
sug, 椚
suh, 样
suh, 梓
suj, 樟
sur, 校
sux, 梯
sva, 概
svf, 要
svn, 朹
svt, 朷
svy, 根
swb, 枪
swc, 松
swg, 检
swn, 机
swr, 枫
swy, 椎
swy, 朲
swy, 朳
sxe, 椽
sxn, 朼
sxn, 杛
sxx, 楷
sxy, 栂
sxy, 㭃
syc, 梳
syg, 柱
syi, 术
syl, 檀
sym, 柿
syn, 核
syp, 述
syr, 旉
syt, 枋
syu, 榜
syv, 榔
syw, 杭
taf, 笁
tag, 筐
tak, 升
tam, 簧
tau, 䇝
tav, 乇
taw, 筑
tay, 长
tbb, 竾
tbb, 㐌
tbf, 季
tbf, 䇯
tbg, 秄
tbh, 䄦
tbn, 彵
tbn, 䄬
tbp, 透
tbr, 秀
tbt, 䄧
tby, 彼
tby, 秛
tca, 径
tcb, 笆
tcu, 么
tcy, 私
tda, 矩
tdd, 舌
tdf, 甜
tdf, 䇢
tdg, 短
