a, 工
ipw, 深
ipx, 沱
iqc, 沟
iqd, 澹
iqg, 淦
iqj, 洵
iqm, 涣
iqn, 泡
iqr, 淘
iqt, 漪
iqy, 汐
irb, 汹
ird, 淆
ire, 派
irg, 泊
irh, 沂
irn, 汽
irr, 浙
iry, 激
iry, 㲼
isf, 漂
isg, 洒
ish, 汀
isj, 潭
isk, 河
isr, 淅
iss, 淋
isw, 漆
isy, 沐
itd, 活
ite, 少
itf, 浩
ith, 省
itk, 洛
itm, 澳
ito, 潘
itp, 泛
its, 涤
itx, 海
ity, 汷
ity, 㳊
iub, 溯
iug, 泣
iuj, 涧
iuk, 涪
iuw, 溢
iux, 滋
ivc, 溉
ivf, 当
ivg, 汝
ivk, 沼
ivl, 淄
ivn, 氿
ivp, 浸
ivs, 染
ivw, 梁
ivy, 涩
iwb, 沧
iwc, 没
iwe, 脊
iwf, 浍
iwg, 涂
iwk, 沿
iwn, 㲹
iwo, 濮
iwu, 氼
iwv, 汾
iww, 浴
iwx, 沦
iwy, 淮
iwy, 汃
iwy, 汄
ixc, 泓
ixg, 澠
ixj, 沸
ixt, 涨
ixu, 溺
ixw, 潍
iyc, 流
iyg, 注
iyj, 济
iyk, 淳
iyn, 沪
iyo, 湾
iyr, 漓
iyt, 洲
iyt, 汸
iyu, 滴
iyu, 尐
iyv, 浪
iyw, 液
iyy, 汶
jad, 蟒
jag, 虹
jah, 蚜
jaj, 蜡
jaj, 㫒
jan, 蝶
jat, 晓
jaw, 暴
jbc, 最
jbf, 㫗
jbg, 虸
jbn, 虵
jce, 肾
jcf, 坚
jcg, 蚂
jcm, 贤
jcn, 蚆
jcu, 竖
jcx, 紧
jde, 蝴
jdf, 晨
jdg, 蛄
jdg, 䖨
jdh, 蚌
jdn, 晟
jdu, 旲
jef, 冐
jeg, 明
jeg, 蚏
jel, 盟
jep, 暧
jet, 㫑
jfc, 野
jfd, 里
jff, 蛙
jff, 圼
jfh, 旰
jfh, 旪
jfh, 虷
jfi, 昧
jfj, 早
jfj, 旱
jft, 暑
jfy, 时
jfy, 䖞
jgd, 昊
jge, 晴
jgf, 旦
jgg, 旺
jgg, 蚟
jgh, 题
jgj, 量
jgk, 晤
jgm, 师
jhf, 冒
jhh, 刂
jhk, 申
jhk, 曱
jhn, 虫
jhy, 虲
jig, 晃
jja, 曝
jjf, 昌
jjg, 昍
jjg, 蚎
jjj, 晶
jjq, 蝎
jjy, 䖵
jkg, 蜈
jkj, 蝇
jkm, 蜗
jlc, 曼
jlf, 蛊
jlf, 昷
jlg, 蝈
jlh, 蛼
jlh, 䖬
jlk, 蛔
jlx, 螺
jmd, 映
jmg, 蚰
jmh, 愚
jmj, 旵
jmy, 蛽
jng, 蛡
jnh, 暇
jnn, 虬
jnv, 电
jnx, 昵
jog, 显
jot, 旷
jou, 炅
jou, 㫧
joy, 炚
jpg, 暄
jpj, 螟
jpl, 晕
jpq, 蜿
jpv, 晏
jpx, 蛇
jqb, 昂
jqd, 蟾
jqi, 晁
jqk, 晚
jqr, 易
jqw, 歇
jrg, 蝗
jrh, 昕
jrh, 蚚
jri, 蛛
jsd, 颗
jsg, 晒
jsh, 虰
jsi, 果
jsr, 晰
jsu, 杲
jsy, 蚞
jtd, 蜂
jtg, 星
jtm, 晌
jtr, 蛾
jtx, 晦
jty, 临
juf, 昱
jug, 曦
juj, 暗
juk, 蜕
jul, 蝉
jvb, 旯
jvf, 妟
jvg, 归
jvk, 照
jvt, 旫
jvt, 虭
jwc, 蚣
jwg, 蛤
jwi, 㬰
jwn, 虮
jwx, 晔
jwy, 晗
jxb, 㫐
jxe, 曳
jxg, 蠅
jxh, 蚓
jxx, 昆
jyg, 蛀
jyk, 影
jyr, 蚁
jyr, 昘
jyt, 昉
jyt, 蚄
jyu, 旻
jyw, 蛟
jyy, 蚊
jyy, 旼
kad, 嘶
kag, 叿
kah, 呀
kaj, 噶
kak, 嘞
kan, 呓
kap, 唠
kar, 哎
kaw, 哄
kbc, 嗫
kbf, 咠
kbg, 吇
kbg, 咡
kbh, 叩
kbm, 咄
kbn, 吼
kbn, 吔
kbs, 啊
kby, 吸
kcb, 邑
kcc, 嗓
kce, 嗵
kcg, 吗
kcn, 吧
kcq, 吮
kct, 唉
kcw, 唆
kcy, 叹
kdb, 呃
kdg, 咕
kdh, 嘎
kdj, 喱
kdm, 顺
kdu, 嘹
kdu, 㕦
kdx, 咙
kdy, 吠
kef, 肙
keg, 咀
keh, 嗖
kej, 别
kek, 咖
kel, 嚼
kep, 嗳
keq, 鹃
ker, 另
ket, 叻
kfa, 喷
kfc, 吱
kff, 哇
kfg, 吐
kfh, 叶
kfi, 味
kfj, 嘲
kfk, 嘻
kfl, 鄙
kfm, 喃
kfp, 嗦
kft, 嗜
kfy, 吋
kgb, 吨
kgd, 吴
kge, 哺
kgf, 呈
kgg, 㕵
kgg, 㕶
kgh, 吓
kgj, 哽
kgk, 嗽
kgm, 嘈
kgn, 号
kgo, 哑
kgp, 逞
kgq, 咧
kgx, 咦
kha, 距
khc, 踊
khd, 跨
khe, 踩
khf, 践
khf, ⻊
khg, 贵
khh, 趾
khi, 踏
khj, 踢
khk, 中
khl, 盅
khm, 蹦
khn, 忠
kho, 踱
khp, 踪
khq, 跑
khr, 跌
kht, 跃
khu, 足
khv, 跟
khw, 趴
khx, 嘴
khy, 卟
kie, 哨
kig, 咣
kim, 唢
kit, 吵
kjf, 哩
kjh, 呻
kjj, 唱
kjq, 喝
kju, 虽
kkc, 骂
kkd, 器
kkf, 吕
kkg, 吅
kkh, 串
kkk, 品
kkw, 咒
kld, 咽
kle, 喟
klf, 嘿
klg, 喂
klg, 呬
klh, 呷
klh, 唓
kma, 嗣
kmb, 郧
kmd, 喘
kme, 勋
kmg, 哃
kmh, 吊
kmm, 嘤
kmu, 员
kmu, 員
kmw, 呐
kmy, 呗
kmy, 唄
kng, 哪
knh, 叫
knk, 噼
knm, 唰
knt, 嘱
knt, 㕧
knx, 呢
kny, 吣
kog, 噗
koo, 啖
kos, 嘛
kov, 喽
koy, 咪
koy, 吙
kpa, 噻
kpe, 哝
kpg, 喧
kpn, 嘧
kps, 咛
kpt, 喀
kpw, 嚓
kqb, 兄
kqg, 噜
kqg, 唫
kqm, 唤
kqn, 呜
kqq, 哆
kqr, 吻
kqw, 吹
kqy, 鸣
krd, 唏
krg, 㕷
krh, 听
kri, 史
krr, 啪
krt, 啤
kru, 啦
ksg, 哂
ksh, 叮
ksj, 喳
ksk, 呵
kss, 噤
ksu, 呆
ksy, 㕲
kta, 噬
ktf, 唾
kth, 咱
ktk, 咯
ktm, 响
ktn, 吃
kto, 啾
ktr, 哦
ktu, 呼
kty, 呚
kty, 咊
kug, 嗟
kug, 㕸
kuh, 吖
kuj, 噫
kvc, 唧
kvi, 啸
kvn, 㕤
kvr, 叧
kvt, 叨
kwb, 呛
kwc, 嗡
kwf, 啥
kwg, 哈
kwn, 叽
kwr, 嗲
kws, 咻
kwu, 只
kwv, 吩
kwx, 哗
kwy, 叭
kwy, 㕥
kxe, 呦
kxn, 叱
kxq, 哟
kxx, 哔
kxy, 吆
kxy, 呣
kyc, 唷
kyg, 唁
kyk, 嚷
kyn, 咳
kyt, 㕫
kyu, 啼
kyv, 啷
kyw, 吭
kyy, 呅
laa, 轼
lak, 㘟
lbd, 囝
lbn, 辄
lca, 轻
lcc, 轰
lci, 囜
lci, 㘝
ldb, 轭
ldd, 固
lde, 囿
ldf, 罟
ldg, 轱
ldg, 軲
ldh, 罘
ldi, 因
ldn, 恩
lds, 畸
ldt, 畴
ldy, 軑
ldy, 轪
lee, 㘞
lef, 胃
leg, 䢁
ler, 男
let, 㽖
let, 䡃
lfc, 罢
lff, 畦
lfh, 轩
lfh, 軒
lfi, 団
lfj, 䍐
lfk, 辕
lfn, 转
lfo, 黑
lfq, 园
lft, 署
lgb, 囤
lgd, 囯
lge, 辅
lgg, 軖
lgk, 辐
lgm, 辆
lgn, 车
lgy, 国
lhd, 罪
lhj, 罩
lhk, 㐃
lhn, 甲
lii, 囦
liu, 眔
liu, 軣
ljx, 辊
lkb, 辑
lkd, 回
lkf, 軎
lkh, 甽
lkh, 䡅
lkm, 圆
llf, 畕
llg, 圜
llg, 䡒
llh, 䡛
llk, 㘡
lll, 田
lmg, 轴
lmg, 軸
lmh, 軕
lmu, 買
lna, 辗
lng, 翈
lnn, 轧
lnn, 軋
lnu, 思
lon, 辘
loq, 辚
lou, 䍘
lpd, 辖
lpk, 连
lpk, 連
lqj, 蜀
lqp, 逻
lqr, 囫
lqu, 罗
lqw, 软
lqy, 鸭
lrc, 畈
lrf, 堑
lrh, 斩
lrh, 斬
lrj, 暂
lrq, 錾
lrw, 轶
lsh, 町
lsi, 困
lsj, 甼
lsk, 轲
lsu, 䍒
ltd, 轿
lti, 囷
ltk, 略
ltu, 图
lty, 畋
lud, 圈
lug, 畔
lug, 䢂
lvd, 囡
lvf, 婁
lvf, 㚻
lvl, 辎
lvn, 轨
lvn, 軌
lwg, 输
lwi, 囚
lwj, 界
lwn, 䡄
lwx, 轮
lwy, 㽗
lxi, 累
lxx, 毗
lyc, 辙
lyd, 圁
lyf, 詈
lyj, 罚
lyw, 较
mad, 曲
maf, 嵌
maf, 㞬
mag, 屸
mak, 冊
map, 嵘
mar, 岖
maw, 典
may, 戝
mbb, 㕀
mbg, 㞨
mbh, 邮
mbh, 邖
mbh, 郥
mbn, 貤
mbr, 㞧
mbt, 屷
mby, 岌
mcb, 岜
mcb, 㽕
mci, 禸
mck, 贻
mcw, 峻
mde, 贿
mdf, 岩
mdg, 岵
mdi, 央
mdl, 盎
mdo, 炭
mdq, 鸯
mdr, 屵
mds, 崎
med, 髓
mee, 崩
mef, 骨
mef, 胄
mef, 冑
meg, 岄
meo, 髅
mep, 髋
mer, 屴
met, 骼
mey, 骸
mfc, 岐
mfd, 冉
mfd, 冃
mfd, 冄
mff, 峙
mff, 亗
mfh, 赋
mfh, 屽
mfk, 雕
mfn, 赎
mft, 财
mfx, 贱
mge, 赙
mgk, 同
mgn, 屿
mgu, 峡
mhf, 帏
mhg, 幅
mhh, 帖
mhj, 帽
mhk, 巾
mhl, 帼
mhn, 冂
mhr, 帕
mht, 帐
mhu, 幢
mhw, 帆
mie, 峭
miu, 汖
mjf, 㞱
mjh, 则
mjh, 則
mjq, 赐
mjv, 岿
mkd, 冋
mlh, 岬
mln, 崽
mlr, 崭
mmf, 峀
mmg, 册
mmg, 岫
mmh, 屾
mmj, 岀
mmm, 山
mmr, 岗
mmv, 婴
mmy, 賏
mna, 岷
mnb, 岂
mnb, 㐕
mnh, 嵋
mnm, 觊
mnn, 屺
mnn, 乢
mnv, 囘
mnw, 凯
mof, 赃
moq, 嶙
mpd, 迪
mpd, 廸
mpf, 崇
mpg, 贮
mpi, 䢙
mpk, 辿
mpu, 㞫
mqb, 见
mqc, 购
mqd, 赡
mqf, 崟
mqg, 崯
mqu, 岁
mqv, 峥
mrc, 贩
mrg, 岶
mrh, 岓
mri, 冈
mri, 罓
mrj, 刚
mrq, 嵬
mrr, 网
mta, 账
mtd, 峰
mtk, 赂
mtn, 屹
mtp, 贬
mtr, 峨
mtv, 巍
mty, 败
mty, 敗
muf, 岦
mug, 嵯
muj, 嶂
muk, 赔
mul, 赠
muv, 赚
mvr, 屶
mwf, 赊
mwi, 内
mwn, 㞦
mwr, 岚
mwu, 㞤
mww, 肉
mwy, 岭
mxx, 幽
mxy, 㟂
myd, 丹
mye, 彤
myf, 訔
myk, 嵩
myn, 赅
myu, 㞵
myy, 㞶
nae, 展
nag, 羾
naj, 异
naj, 羿
nal, 懵
nan, 屉
nat, 懂
nav, 民
naw, 殿
nay, 慌
nbc, 慑
nbd, 㞌
nbh, 邔
nbh, 䣁
nbm, 屈
nbn, 忚
ncd, 惨
ncf, 怪
nci, 㞋
nck, 怡
ncv, 㞎
nda, 惰
ndd, 居
nde, 懮
ndg, 怙
ndh, 怀
ndj, 剧
ndm, 怖
ndn, 忧
ndo, 恢
ndy, 忕
net, 忇
nfa, 愤
nfc, 层
nff, 恃
nfh, 慎
nfh, 忓
nfi, 慰
nfi, 屚
nfk, 卂
nfp, 迅
nft, 屠
nfu, 导
nfy, 忖
ngb, 那
ngc, 屋
ngd, 刁
nge, 情
ngf, 䍿
ngg, 忹
ngh, 怔
ngj, 恒
ngk, 司
ngk, 丮
ngu, 怦
ngx, 愫
nhd, 眉
nhd, ⺪
nhe, 胥
nhf, 丑
nhi, 疋
nhj, 蛋
nhk, 丩
nht, 收
nhw, 惧
nhy, 疏
nie, 屑
nig, 恍
nii, 尿
nii, 氹
nit, 犀
njf, 悍
njl, 慢
njq, 惕
njt, 惺
njy, 憬
nkf, 吢
nkh, 忡
nku, 壁
nla, 翼
nld, 乪
nld, 屇
nlg, 怬
nlr, 惭
nly, 愣
nmd, 届
nmf, 惆
nmg, 恫
nmg, 怞
nmh, 刷
nmi, 屃
nmi, 屓
nmj, 恻
nmj, 㞯
nmn, 恺
nmu, 惘
nng, 己
nnh, 书
nnk, 局
nnl, 乙
nnn, 忆
nnn, 忋
nnu, 忌
nnv, 乜
nnw, 快
nny, 羽
nny, 㤈
noh, 惦
noi, 屎
nov, 慷
npe, 迉
npl, 恽
npq, 惋
nqe, 懈
nqg, 惍
nqr, 惚
nrf, 習
nrg, 怕
nrh, 忻
nrn, 忾
nrq, 愧
nsg, 恓
nsh, 忊
nsi, 杘
ntb, 悸
ntc, 发
ntd, 恬
nte, 必
ntf, 尾
ntg, 性
ntj, 虱
ntk, 属
ntl, 恤
ntm, 懊
ntt, 履
ntx, 悔
nty, 改
nua, 屏
nud, 习
nud, 㞐
nuf, 翌
nug, 翋
nug, 㥃
nui, 飞
nuk, 悦
nul, 憎
nux, 悌
nuy, 悯
nvc, 慨
nve, 恨
nvg, 妀
nvt, 忉
nvv, 尻
nwb, 怆
nwe, 戮
nwg, 恰
nwi, 乆
nwi, 夬
nwv, 凥
nwy, 怜
nxf, 惯
nxg, 憴
nxv, 尼
nxx, 屁
nyi, 尺
nyi, 乄
nyj, 昼
nyk, 惊
nyn, 忙
nyp, 迟
nyr, 恼
nyt, 㤃
nyu, 尽
nyu, 㣺
nyw, 翠
nyy, 忟
oac, 度
oaf, 煤
oag, 灴
oag, 䉺
oai, 㡲
oaj, 灷
oam, 席
oan, 炼
oao, 遮
oat, 烧
oaw, 粪
obg, 籽
obh, 邝
obh, 邩
obn, 灺
oca, 烃
oci, 広
ocn, 粑
ode, 糊
odg, 炻
odg, 䊀
odi, 庆
odm, 烦
odu, 类
odx, 庞
oeg, 粗
ofd, 庄
ofg, 灶
ofh, 籵
ofh, 㶥
oft, 烤
ofy, 籿
ogd, 业
oge, 精
ogj, 粳
ogm, 糟
ogu, 凿
ohk, 粘
oig, 应
oit, 炒
oja, 爆
ojf, 焊
ojh, 灲
ojy, 烛
okk, 燥
okw, 炽
old, 烟
olf, 畨
olg, 畑
olh, 炠
olk, 库
olk, 庘
olk, 庫
omd, 庙
omg, 粙
omh, 灿
omh, 籼
omk, 炯
onb, 㐘
oni, 応
onj, 鹿
onn, 焗
onr, 断
ont, 废
onw, 廖
ony, 烬
oon, 廘
ooo, 火
oou, 炎
oov, 糖
ooy, 炏
opf, 烷
opg, 煊
opi, 迷
opw, 熔
oqa, 底
oqb, 灮
oqd, 燃
oqe, 焰
oqm, 焕
oqn, 炮
oqw, 炊
oqy, 灼
oqy, 㶤
ord, 烯
org, 粕
orh, 炘
orh, 䉼
ork, 庍
osg, 粞
osh, 灯
osi, 床
osk, 庁
oss, 麻
osy, 炑
otd, 烽
otf, 糙
oth, 炸
otk, 烙
otn, 烁
oty, 敉
oty, 炇
oty, 秌
oud, 烂
oud, 㡴
ouf, 料
oug, 粒
ouk, 焙
oun, 焖
ouv, 廉
ovb, 㶢
ove, 庸
ovf, 娄
ovg, 籹
ovh, 唐
ovi, 康
ovt, 数
ovt, 灱
ovw, 庚
owd, 煅
owf, 腐
owi, 庂
own, 籶
ows, 庥
owv, 粉
oww, 座
owy, 焓
oxk, 糨
oxv, 庀
oxx, 庇
oyd, 㢇
oyg, 广
oyk, 廓
oyl, 廪
oyn, 炉
oyt, 米
oyu, 熵
oyv, 粮
oyw, 粹
oyx, 炫
oyy, 炆
pah, 宦
paj, 寞
pam, 宽
paw, 赛
pbf, 字
pbj, 㝋
pcu, 㝊
pdc, 宏
pde, 寡
pdf, 宕
pdf, 㝒
pdh, 割
pds, 寄
pdx, 宠
pef, 肎
peg, 宜
pei, 农
pfi, 宗
pfq, 完
pfu, 守
pgc, 室
pge, 家
pgf, 宇
pgf, 㝉
pgh, 定
pgj, 宣
pgk, 富
pgm, 寅
pgn, 写
pgy, 宝
phg, 寂
phn, 官
phu, 㓀
pie, 宵
piu, 㲾
pjd, 幂
pjh, 审
pjm, 寓
pjv, 宴
pjy, 冥
pkk, 宫
plb, 郓
plg, 寰
plj, 军
plj, 軍
pmf, 宙
pmj, 冚
pne, 甯
pnh, 寐
pnt, 蜜
pnw, 寥
pny, 廴
pou, 灾
pou, 冞
pou, 宩
ppp, 之
ppu, 㝎
pqb, 宛
pqb, ⺳
pqk, 冤
pqq, 鸩
pqv, 冘
prg, 宾
psj, 宁
psu, 宋
pta, 宅
ptf, 宪
ptg, 牢
ptk, 额
puc, 衩
pud, 实
pue, 衫
puf, 衬
pug, 袜
puh, 被
pui, 裆
puj, 裸
pum, 袖
pun, 褶
puo, 裤
puq, 袍
pur, 裨
pus, 襟
put, 袄
puv, 初
puw, 裕
pvb, 宄
pvf, 安
pvs, 案
pwa, 穿
pwb, 窿
pwb, 冗
pwb, 宂
pwd, 突
pwe, 穷
pwf, 察
pwg, 窒
pwj, 窠
pwk, 窝
pwm, 帘
pwn, 窟
pwq, 窕
pwr, 窑
pwt, 窗
pwu, 穴
pwu, 㓁
pwv, 究
pww, 容
pwx, 穹
pwy, 鹤
pxb, 它
pxb, 宆
pya, 祺
pyb, 祁
pyd, 祷
pye, 祖
pyf, 社
pyf, 㝘
pyg, 福
pyj, 神
pyk, 祝
pym, 视
pyn, 礼
pyn, 冖
pyq, 祗
pyr, 祈
pyr, 㝑
pyt, 祚
pyu, 祥
pyv, 禄
qaf, 钳
qag, 釭
qaj, 昏
qal, 锚
qan, 钜
qap, 铹
qat, 铙
qav, 氏
qaw, 镬
qay, 邸
qay, 鈛
qbc, 镊
qbg, 铒
qbg, 釨
qbg, 鉺
qbh, 钌
qbh, 卬
qbh, 夘
qbh, 邜
qbh, 釕
qbl, 锰
qbn, 怨
qbn, 夗
qbn, 釶
qbp, 迎
qbq, 鸳
qbt, 釢
qcb, 色
qcg, 铎
qci, 勾
qcn, 钯
qcn, 鈀
qcy, 钗
qdb, 危
qdg, 钴
qdg, 鈷
qdg, 鉐
qdh, 锲
qdr, 厃
qdt, 铸
qdu, 镣
qdw, 詹
qdy, 然
qdy, 釱
qef, 臽
qeg, 钥
qeg, 鈅
qeh, 角
qet, 钐
qet, 釛
qet, 釤
qfd, 勻
qfg, 钍
qfg, 釷
qfh, 针
qfh, 針
qfh, 釬
qfh, 㚈
qfl, 镭
qft, 锗
qfx, 钱
qgb, 钝
qgd, 鱿
qge, 铺
qgf, 鱼
qgh, 钙
qgj, 鲁
qgk, 鳄
qgl, 鳃
qgo, 鳞
qgp, 鲩
qgq, 鲍
qgs, 鳔
qgu, 鲜
qgv, 鲫
qgw, 鲋
qgy, 鲸
qhd, 䀏
qhg, 钼
qhg, 鉬
qhg, 䤠
qhj, 亇
qhk, 钻
qhy, 外
qhy, 钋
qhy, 釙
qie, 销
qig, 玺
qii, 兆
qim, 锁
qip, 逃
qit, 钞
qiu, 尔
qiu, 淾
qiv, 铛
qiy, 釥
qjc, 铿
qjd, 旬
qjf, 锂
qjg, 鈤
qjh, 钊
qjh, 釗
qjn, 龟
qjq, 锡
qjx, 锟
qjy, 鉵
qkd, 句
qke, 象
qkf, 名
qkg, 釦
qkh, 钏
qkh, 釧
qkk, 铝
qkm, 锅
qkq, 够
qld, 甸
qlg, 钿
qlg, 鈿
qlh, 钾
qlh, 鉀
qlp, 链
qlq, 锣
qmg, 铀
qmg, 鈾
qmj, 铡
qmr, 钢
qmu, 负
qmu, 負
qmw, 钠
qmy, 钡
qmy, 鋇
qna, 饶
qnb, 饣
qnc, 饴
qnd, 锯
qne, 馁
qnf, 饯
qng, 乌
qng, 䦀
qnj, 蚀
qnk, 馈
qnn, 钇
qnn, 钆
qnn, 釓
qnn, 釔
qnn, 釲
qnp, 馆
qnq, 饮
qnr, 饭
qnt, 饰
qnu, 饼
qnv, 包
qnw, 饥
qny, 饺
qny, 鈊
qoa, 镀
qoi, 匊
qoi, 灳
qou, 炙
qou, 魚
qov, 镂
qoy, 钬
qoy, 鈥
qoy, 銤
qpg, 锭
qqc, 钩
qqg, 鍂
qqi, 匇
qqk, 铭
qqn, 钨
qqq, 金
qqt, 铆
qqu, 多
qqw, 钦
qqy, 钓
qqy, 釸
qrb, 匈
qre, 勿
qrg, 铂
qrg, 鉑
qrh, 釿
qri, 匁
qrm, 锦
qrn, 忽
qrq, 锨
qrw, 铁
qry, 匆
qsf, 镖
qsg, 钵
qsh, 钉
qsh, 釘
qsy, 鈢
qta, 猎
qtb, 犯
qtd, 锋
qte, 狙
qtf, 猪
qtg, 狂
qth, 镍
qtj, 独
qtk, 铬
qtm, 猾
qtn, 儿
qtn, 勹
qtn, ⺈
qto, 狄
qtp, 狞
qtq, 狗
qtr, 狐
qtv, 狠
qtw, 猴
qtx, 狒
qty, 狼
qty, 鉌
qud, 匀
quf, 锌
qug, 镁
qug, 鉝
qug, 鍆
quj, 镜
quk, 锐
qun, 钔
quq, 锵
qut, 铲
qux, 锑
qvb, 邹
qve, 银
qvf, 刍
qvg, 钕
qvg, 釹
qvh, 争
qvn, 急
qvn, 釚
qvt, 煞
qvt, 釖
qvv, 勼
qvw, 雏
qwd, 锻
qwi, 勽
qwk, 铅
qwn, 釠
qwu, 欠
qww, 锉
qwy, 铃
qwy, 釟
qxv, 匂
qxy, 鉧
qyd, 訇
qye, 铱
qyf, 䚻
qyi, 久
qyi, 勺
qyi, 夊
qyk, 镶
qyn, 鸟
qyo, 灸
qyt, 钫
qyt, 鈁
qyu, 镑
qyv, 留
qyw, 铰
qyy, 鈫
raa, 拭
rab, 皂
rad, 撕
rae, 撒
rag, 扛
raj, 措
ral, 描
ran, 拒
rap, 捞
rar, 抠
rat, 挠
raw, 搭
ray, 找
rbc, 报
rbg, 挕
rbh, 邤
rbh, 㧄
rbi, 拯
rbk, 凶
rbm, 拙
rbn, 扡
rbt, 扔
rca, 拚
rcc, 掇
rcd, 掺
rce, 捅
rcg, 择
rci, 反
rck, 抬
rcn, 把
rcn, 皅
rcp, 返
rct, 挨
rcu, 㿝
rcw, 摊
rcy, 瓜
rcy, 払
rdb, 扼
rdc, 拔
rde, 肴
rdf, 振
rdg, 拓
rdj, 掩
rdm, 希
rdn, 扰
rdp, 挞
rdu, 撩
rdu, 㚖
rdw, 捧
rdx, 拢
rdy, 扙
reg, 援
reg, 抈
reg, 㧮
reh, 拥
rep, 授
rer, 摇
ret, 劤
ret, 劧
ret, 劰
ret, 扐
rfc, 技
rff, 持
rfg, 扗
rfh, 盾
rfh, 扞
rfj, 皁
rfk, 拮
rfl, 擂
rfm, 质
rfp, 挝
rfq, 抚
rft, 拷
rfw, 扶
rgb, 邱
rgd, 丘
rge, 搏
rgf, 皇
rgg, 抂
rgk, 后
rgm, 岳
rgp, 遑
rgs, 抹
rgt, 乒
rgu, 挟
rgv, 捷
rgw, 兵
rgy, 乓
rha, 掳
rhb, 卸
rhc, 披
rhd, 排
rhf, 看
rhg, 扯
rhh, 攫
rhj, 掉
rhk, 拈
rhy, 扑
rie, 捎
rii, 朱
rip, 搅
rit, 抄
riu, 泉
riv, 挡
rjb, 撮
rjf, 捏
rjg, 担
rjg, 抇
rjh, 刈
rjq, 揭
rjt, 揽
rjx, 拽
rkb, 揖
rkc, 挹
rke, 拐
rkg, 扣
rkh, 捉
rkk, 操
rkm, 损
rld, 摁
rlf, 摆
rlf, 畠
rlg, 舞
rlh, 押
rlh, 捙
rls, 捆
rlt, 撂
rlx, 摞
rma, 罐
rmd, 揣
rmg, 抽
rmh, 制
rmk, 缶
rmn, 缺
rmw, 摧
rna, 抿
rnb, 气
rnc, 氢
rnd, 据
rnd, 戶
rng, 握
rng, 挧
rng, 䎅
rnh, 扭
rnl, 氤
rnm, 氙
rnn, 扎
rnn, 癿
rnp, 氨
rnr, 所
rnt, 拨
rnu, 氧
rnu, 㣻
rnv, 氯
rnw, 氛
rnx, 氟
rny, 拟
rny, 抋
roh, 掂
rot, 扩
rov, 搂
rpd, 迫
rpd, 廹
rpf, 皖
rpk, 近
rpl, 挥
rpr, 摈
rps, 拧
rpv, 按
rpw, 控
rqa, 抵
rqb, 抑
rqb, 皃
rqc, 鬼
rqe, 掐
rqg, 捦
rqi, 挑
rqk, 挽
rqm, 换
rqn, 抱
rqo, 掬
rqr, 掏
rqv, 挣
rqw, 欣
rqy, 的
rrc, 扳
rrg, 拍
rrg, 㿟
rrh, 折
rrh, 抙
rrh, 斦
rrj, 蜇
rrk, 哲
rrp, 逝
rrq, 掀
rrr, 白
rrt, 捭
rru, 爻
rry, 拆
rsa, 弑
rsg, 拪
rsh, 打
rsj, 刹
rsu, 杀
rta, 托
rtb, 拖
rtd, 括
rte, 搬
rtf, 插
rtg, 手
rth, 攥
rto, 播
rtt, 斤
rtt, ⺁
rty, 乂
rty, 敀
rty, 㐅
rua, 拼
rud, 拦
ruf, 抖
rug, 拉
rug, 捫
ruj, 撞
rul, 掸
rum, 撇
run, 扪
rut, 搁
ruv, 接
rve, 抛
rvg, 扫
rvk, 招
rvn, 殷
rvn, 扏
rvt, 㧅
rvy, 势
rwb, 抢
rwc, 投
rwg, 拾
rwi, 失
rwp, 迭
rwu, 㒵
rwv, 扮
rww, 挫
rwx, 抡
rwy, 扒
rxb, 皀
rxe, 拗
rxj, 指
rxn, 㧈
rxx, 批
rxy, 拇
ryc, 撤
ryg, 拄
ryi, 斥
ryj, 挤
ryk, 搞
ryl, 擅
ryn, 护
ryt, 邀
ryt, 㧍
ryu, 摘
ryw, 抗
ryx, 摔
ryy, 抆
saa, 械
sab, 栉
sad, 棋
saf, 柑
saf, 杢
sag, 杠
sai, 栋
saj, 模
sam, 横
san, 柜
sap, 檬
sar, 枢
sbb, 椰
sbd, 椭
sbf, 李
sbg, 杍
sbg, 栮
sbh, 邒
sbh, 䢶
sbn, 杝
sbt, 㭁
sby, 极
sce, 桶
scf, 树
scn, 杷
scw, 梭
scy, 权
sdg, 枯
sdg, 柘
sdg, 㭅
sdh, 杯
sdm, 顶
sds, 椅
sdt, 梆
sdu, 䙲
sdw, 棒
sdy, 杖
sdy, 杕
see, 棚
seg, 桕
seg, 枂
sek, 枷
set, 杉
set, 朸
sfc, 枝
sff, 桂
sff, 垔
sfg, 杜
sfh, 杆
sfi, 票
sfk, 桔
sfm, 楠
sft, 材
sfw, 棱
sfx, 栈
sfy, 村
sga, 醋
sgc, 酸
sgd, 本
sgd, 酉
sge, 酹
sgf, 酵
sgg, 枉
sgh, 丁
sgj, 醒
sgk, 梧
sgm, 槽
sgn, 配
sgo, 醚
sgq, 酌
sgr, 酗
sgs, 酊
sgt, 酷
sgw, 酚
sgy, 醉
shg, 相
shg, 杫
shn, 想
shy, 朴
sie, 梢
siv, 档
siy, 㭂
sjf, 杳
sjg, 查
sjn, 榻
sjs, 棵
sjt, 槛
sjx, 棍
skb, 楫
skd, 可
ske, 柺
skf, 杏
skh, 杊
sks, 哥
slf, 㭗
slg, 柶
slh, 柙
sly, 楞
smg, 柚
smh, 杣
smm, 栅
smu, 贾
