a	art.一，一个，任何一个;同一的;像…的;某一个 pre.每;n英文字母第一个
against	pre.逆;反对;对比;抵抗
against all odds	不计成败
against the wind	逆风
agal	n头巾绳
agalite	n[矿]纤滑石
agalloch	n沉香木;伽罗木
agalwood	=agalloch
agama	n长尾蜥蝪
agamete	n[生]非配偶子
agamic	adj.无性的;无性生殖的;隐花的
agammaglobulinemia	n血中丙球蛋白贫乏
agamogenesis	n无配生殖;无性繁殖
agamogenetic	adj.单性生殖的
agamont	n[动]非生配体
agamous	=agamic
agamy	n无婚姻制
agana	n阿加纳(关岛首府)
aganglionic	adj.无神经节细胞的
aganippe	n灵感之来源
agapanthus	n产於非洲的爱情花
agape	adj.adv.目瞪口呆(的);张开着(的)
agar	n洋菜;紫菜;石花菜;细菌培养基
agaragar	n琼脂
agaric	n平茸;蘑菇;木耳;adj.平茸的;如菌的
agaricaceous	adj.菌荤科的
agate	n玛瑙;玛瑙体活字;孩子们玩的石子
agate line	n报纸广告大小的单位
agateware	n玛瑙纹的陶器;家庭钢铁用具
agatize	v.使化成玛瑙
agave	n[植]龙舌兰
agaze	adj.adv.惊视;凝视(的，地)
agazed	adj.受惊吓的
agcy	[略]=agency
age	费用;动作;地位
aged	adj.年老的;陈年的，积年累月的;有…岁的
agedness	n老年;高龄
agee	adv.半开地;歪斜地
ageing	n衰老或成熟的过程
ageless	adj.不会老的;长生的;永远的
agelong	adj.经年的;永恒的
agence france press	n法新社
agency	n动作;作用;代理;机构;经售
agenda	n应办事项;议事日程;议程
agendum	n待办事项
agenesis	n器官发育不全;器官有缺陷
agent	n代理者;作用者;原动力;药剂;官员;旅行推销员
agential	adj.代理人的;主动的
agent provocateur	n密探
ageold	adj.古老的
ageratum	n[植]藿香(蓟)
ageusia	n无味觉
agger	n古罗马帝国的道路
aggie	n农校;农科大学生;(pl.)其代表团队
aggiornamento	n机构或组织的现代化
agglomerate	n团块;凝块物;adj.聚结成块的;团聚的;群生的;密集的;v.结块;凝聚;团集
agglomeration	n结块;凝结;一堆;一团
agglomerative	adj.凝聚的;会集的
agglutinant	n黏着剂;胶合剂;adj.胶合的;黏着性的
agglutinate	adj.黏着的;胶合的;v.使黏(胶)着;使接合
agglutination	n黏着;胶着物;(细菌血球等的)凝集作用
agglutinative	n胶着的;凝集的;胶着语形的
agglutinin	n(使血液凝结的)凝集素
agglutinogen	n(产生凝集素的)凝集原
aggradation	n沉积
aggradational	n沉积的
aggrade	v.使河床升高
aggrandize	v.增;高强化;扩大;夸张
aggrandizement	n强化;加大
aggravate	vt.使恶化;加重;增剧;激怒;adj.集合的;总计的;n集成;集团
aggravating	adj.使…恶化的;加重的;增剧的;激怒的;可恼的
aggravation	n恶化;加重;气愤
aggregate	n集合;集合体;总计;合计;adj.聚生的;合计的;攒集的;聚成岩的;v.集合;总计;合计
aggregately	adv.一共;合计;集在一起地
aggregation	n集合;集团;总合;生物的集体生活;群聚
aggregative	adj.集合(性);集团的;集体的
aggress	v.政击;挑衅;侵略
aggression	n进政;侵略;侵犯;侵害
aggressive	adj.侵略的;攻势的;挑衅的;进取的
aggressively	adj.侵略地;攻势地
aggressor	n攻击者;侵略者;侵略国
aggrieve	v.使烦恼;迫害;侵害
aggrieved	adj.受侵害的;受虐待的;抱不平的
aggro	n暴力行为
aghast	adj.吃惊的;吓呆的;恐怖的
agile	adj.轻快的;敏捷的;机敏的;活泼的
agilely	adv.敏捷地
agility	n轻快;灵捷;机智
agin	pre.(谑)反对
aging	n老化;成熟的过程
agio	n折扣;贴水
agiotate	n股票投机;兑换业
agist	v.[法]替人饲养牛马以收取代价
agitate	vt.搅动;骚动;使兴奋;热烈讨论;vi.骚动，煽动，鼓动
agitated	adj.激动的
agitatedly	adv.激动地
agitation	n剧烈的震动;搅动;兴奋;议论;煽动
agitative	adj.煽动性的
agitato	adj.adv.激动;兴奋;快速(的，地)
agitator	n鼓动者;运动者;宣传员;搅拌器
agitprop	n宣传鼓动的机关(人);adj.煽动及宣传性的
aglaia	n光之女神
aglare	adj.adv.闪耀;耀眼(的，地)
agleam	adj.adv.光亮;闪亮;光辉(的;地)
aglet	n带端的金属尖头;带扣;坠饰;葇荑花
agley	adv.歪斜地;弯曲地;乖误地
aglimmer	adj.adv.发出闪闪光亮(的，地)
aglint	adj.adv.闪耀着(的，地)
aglisten	adj.闪烁的;光辉耀眼的
aglitter	adj.adv.灿烂;光辉(的，地)
agloat	adj.adv.踌躇满志(的，地)
aglossal	adj.无舌的
aglossia	n无舌;无法言语
aglow	adj.adv.发红;兴奋;发亮(的，地)
agminate	adj.成群的;聚集的
agnail	n(指甲边的)倒刺;肉刺;脓性指头炎
agname	n绰号;别称
agnate	n父系亲属;同族人;adj.父系的;同族的
agnatha	n无颚类脊椎动物
agnathous	adj.属无颚类的
agnomen	n附加名
agnosia	n[精]认识不能
agnostic	n不可知论者;adj.不可知论的
agnosticism	n不可知论主义
agnus dei	n神羔(耶稣基督的别名)
ago	adj.adv.以前;以往(的)
agog	adv.热望地;极兴奋地
agoing	adj.adv.正在进行中;运转(的，地)
a golden key opens every door	n金钱万能;金钥匙可以开启每扇门
agon	n比赛;竞赛
agonal	adj.痛苦徵兆的
agone	adj.adv.以前;过去(的，地)
agonic	adj.不成角的
agonise	=agonize
agonising	=agonizing
agonisingly	=agonizingly
agonist	n收缩筋;内心里充满矛盾的人
agonistic	adj.竞赛的;好争论的;不认输的;求取效果的;勉强的
agonize	vi.烦恼，苦闷，挣扎;vt.使烦恼，使苦闷
agonized look	n愁眉苦脸，苦相
agonizing	adj.烦恼的，苦闷的;痛苦难忍的
agonizingly	adv.烦恼地，苦闷地;痛苦难忍地
agony	n烦恼，苦闷，如死般的痛苦或喜悦
agony column	n人事广告栏
a good anvil does not fear the hammer	n好的铁钻不怕铁锤敲
a good conscience is a soft pillow	n良心有如软枕头
a good deal of	adj.很多的
a good dog deserves a good bone	n好狗值得好骨头
a good husband makes a good wife	n有好丈夫就有好妻子
a good many	adj.很多的
a good name is better then riches	n美名胜於财富
a good name is sooner lost than won	n美名易失难得
a good time	n一段美好时光
agora	n集会(所);市场;大广场
agorae	pl.=agora
agoraphobe	n[医]广场恐惧症
agoraphobia	n[医]广场恐惧症
agouti	刺鼠(大型的天竺鼠)
ago，not long	不久以前
agraffe	n钮扣;铁搭钩
agranulocytosis	n[医]粒性白血球缺乏症
agrapha	n耶稣之遗言
agraphia	n[医]因脑受伤致不能写字的失写症
agrarian	n主张土地均分论者;adj.土地的;土地之耕种或所有权的;农地的;田野的
agrarianism	n田地均分法
agrarianize	v.重新分配
a great city， a great solitude	n城大人寂寞
a great deal of	adj.很多的
a great many	adj.很多的
agree	v.同意;承认;一致;妥协
agreeable	adj.愉快的;适合的;同意的;一致的
agreeableness	n适合;一;玫愉快;适意
agreeably	adv.愉快地;欣然地;同意地;一致地;适合地
agreed	adj.已经过协议的;同意的
agreed charge	n优待运费
agreement	n契约;协议;同意;承诺;[反]disagreement
agree to	同意;允诺
agree upon	对...意见一致
agree with	一致;同意於
agrestal	adj.野生的
agrestic	adj.乡土气的;粗野的;不文雅的
agricultural	adj.农业的;耕作的;农艺的
agriculturalist	=agriculturist
agriculture	n农业;农耕;农艺;农学
agriculture secretary	n[美]农业部长
agriculturist	n农民;农场经营者;农业家
agrimony	n龙芽草
agrimotor	n农耕用拖拉车;农用拖车
agrin	adj.adv.微笑(的，地)
agriology	n原始人类学;adj.原如人类学的
agro	pref.田野;土壤
agrobiology	n土壤生物学;农业生物学
agroclimatology	n农业气候学
agrologic	n农业土壤学的
agrology	n农业土壤学
agromania	n旷野独处症
agromony	n农艺学;农学
agronomic	adj.农艺学的;农业的;农耕的
agronomics	n农业经济学
agronomist	n耕农学家;农学家
agrostography	n研讨草类的论文
agrostology	n草本学
agrotechny	n农产品加工学
agrotype	n土壤型
aground	adv.在地上;搁浅
a growing youth has a wolf in his belly	n发育中的小伙子肚里有匹狼
agrypnotic	n提神剂;adj.使失眠的
ague	n疟疾;寒热;发冷
aguecake	n[医]疟脾
agued	adj.患疟疾的;发冷的
agueweed	n一种龙胆
a guilty conscience needs no accuser	n做贼心虚;愧对良心的人用不着人家指控
aguish	adj.容易患疟疾的;疟疾的;打冷颤的;发冷的
agush	adj.如泉涌的
ah	int.啊(痛苦;惊讶;怜悯;叹息;厌弃;喜悦时所发之声)
aha	int.啊呀(喜悦;轻蔑时所发之声)
a hair of the dog that bit you	n回魂酒;喝点酒解除前日的宿醉
ahead	adj.在前方的;向前的;adv.往前方地;占先;胜於
ahead of	在…之前;优於
ahead of time	提早
aheap	adj.adv.重叠;堆积(的，地)
a heavy purse makes a light heart	n钱包沈重，心情才轻松
a hedge between keeps friendship green	n中间筑道篱笆，可保友谊长青
ahem	int.啊嗛(引人注意所发之声)
ahimsa	n不杀生论;反暴力说
ahistoric	adj.不顾传统的
ahold	n抓;握;adv.迎风航驶
ahorse	adj.adv.在马上(的，地)
a house divided against itself cannot stand	n不和的家庭难持久
ahoy	int.啊嗨(呼叫他船时所发之声)
ahuehuete	n蒙特苏玛丝柏(产於墨西哥的一种常青树)
ahull	adv.把帆卷起并把舵扣住朝着风驶去
ahum	adj.adv.低唱;轻哼(的，地)
ai	n三趾树獭;唉哟(痛苦或哀怜时所发之声)
aid	n帮忙，援助;援助者;帮助物;[英史]奉献国王的捐税;v.帮助;援助;接济
aidance	n协助;帮助
aidant	adj.帮助的;有助益的
aide	n副官;助手;助理
aidedecamp	n副官;侍从军官
aidememoire	n外交上的备忘录
aidman	n战地救护兵;医疗队员
aid post	n救护站
aids	爱滋病;後天免疫能力丧失症
aid station	n救护站;救护所
aiglet	n带端的金属尖头(鞋带);坠饰
aigret	n用做头饰的羽毛;羽毛状珠宝首饰
aigrette	n白鹭;冠毛;鹭鸶毛帽饰;饰毛
aiguille	n针状岩石;锥子;针形钻孔器
aiguillette	n饰绳;繸带
ail	v.使苦恼;使烦恼;生病
ailanthus	n[植]臭椿
aileron	n补助翼;副翼
ailing	adj.不舒服的;害病的
ailment	n烦闷;失调;慢性病
ailurophile	n喜爱猫者
ailurophilia	n爱猫癖
ailurophobe	n讨厌猫者
ailurophobia	n惧猫症
aim	n对准;目的;志向;计划;意旨;v.对准;指望;立志要...
aim at	针对;瞄准;意指...而言
aimless	adj.漫无目的的
aimlessly	adv.漫无目的地
ain	n艾因河(位於法国东部)
aino	n虾夷人(语)
aint	[略]=am not;are not;is not;have not
ainu	adj.虾夷人(语)的
air	n空气;和风;抒情调;pl.装腔作势;adj.通空气的;航空的;v.透风;吹乾;公开发表，吹嘘;广播
air academy	n美国空军官校
air action	n空战
air age	adj.航空时代的
air alert	n空袭警报
air atomic	adj.用轰炸机投原子弹的;飞弹装有原子弹头的
air attack	n空袭
airbag	n安全气袋
air base	n航空基地
air bed	n气垫;气床
air bladder	n气泡
air blast	n吹入的空气;鼓风
airboat	n汽船
airborne	adj.空降的;空运的;空中传播的
airbound	adj.被空气的堵塞的
air brake	n空气煞车制
airbrassive	n[医]磨牙的气压机械
airbrush	n喷枪
air bubble	n气泡
airburst	n炸弹在空中的爆炸;飞机遇到气流突变产生的震荡
air bus	n载客用小飞机
air castle	n空中楼阁;妄想
air cell	n气囊;气胞
air chamber	n气室;气囊;气胞;水压机之气室
air cleaner	n空气滤清器
air command	n空军司令部
air compressor	n空气压缩机
air condenser	n空冷却器
air condition	v.装置空调设备
air conditioned	adj.装有空调设备的
air conditioner	n空气调节机;冷气机
air conditioning	n空气调节设备;冷气设备
air cone	n重油喷燃装置
air cool	v.利用空气冷却;装置冷气设备
air cooled	adj.用空气冷却的
air cooler	adj.冷气冷却器;冷气装置
air cooling	n空气冷却法
air corridor	n空中走廊
aircraft	n飞行器
aircraft carrier	n航空母舰
aircraftman	n空军一，二等兵
aircraftsman	n[英，加]空军一，二等兵
aircraft spotter	空中观测员
aircrewman	n空勤组员
air cure	n晾晒...於空气中;用空气处理
air current	n气流
air curtain	n把空气压缩向下喷成之无形门帘
air cushion	n气垫;气室
air defense drill	n防空演习
air depot	n飞机场
air detection	n空中侦察
air distance	n直线距离
air driven	adj.由压缩空气推动
airdrome	n飞机场
airdrop	nv.空投
air dry	adj.完全风乾状态的;v.晾乾;风乾
aire	n亚耳河(英国一河流)
airedale	n一种有黑斑的大型狗
air eddy	n气流所产生的漩涡
airer	n乾燥器;晒衣架
air express	n航空快递;包里
air ferry	v.空运
airfield	n飞机场
airfight	n空战
air fighter	n战斗机
air fleet	n机群;航空机队
airflow	n气流;adj.气流产生的
airfoil	n机翼;螺旋桨;机舵
air force	n空军
airframe	n飞机机身
airfreight	n货物空运;空运运费
airfreighter	n运货的货机
airgraph	n(缩拍成软片的)拍照航空信
air gun	n气枪
airhead	n敌後伞兵空降阵地
airhop	n短程空中旅行;v.经常乘飞机短程旅行
air hostess	n空中女服务员
airhouse	n空气屋
airily	adv.轻快地;快活地;装模作样地
airiness	n通风;空气流通;快活;轻柔;空虚;轻快
airing	n晒乾;晾乾;晾东西;户外运动
air lane	n航空线
air launch	v.由正在飞行中的飞机发射
air letter	n航空信;航空邮简
airliner	n班机
air lock	n潜水箱不透气的前室;阻隔室;气塞
air logged	adj.受气锁堵塞的
air mail	=airmail
airmail	n航空邮件(邮票);vt.航空邮寄
air map	n依据空中摄影而绘制的地图
air mass	n气团
air mechanic	n航空技工;修理飞机的技工
air minded	adj.热心航的;赞成多用飞机的
air parcel	n空邮包里
air pillow	n空气枕
airplane	n[美]飞机;[英]aeroplane，英国空军说aircraft
airplane cloth	n飞机翼布
air pocket	n[航]气涡;空中陷阱
air pollution	n空气污染
airport	n飞机场
air power	n空军力量
air pressure	n气压;风压
air pump	n抽气机;排气马达
air raid	n空袭;adj.空袭的
air raid shelter	n防空洞;防空壕
air raid siren	n空袭警报笛
air raid warden	n防空队员
air rifle	n有膛线之气枪
air sea	adj.adv.由空至海;海空联合(的，地)
air service	n空军;空中勤务;空中运输
air shaft	n通风管道
airship	n飞船，飞艇
air slaked	adj.曝露在空气中而消解的;风化的
air spring	n气垫;空气缓冲器
air station	n飞机场;航空站
air tank	n氧气筒
air teminal	n机场大厦
air time	n电影或电视节目开始的时间
air to air	adj.空对空的
air to ground	adj.空对地的
air to surface	adj.空对地(面)的
air travel	n空中旅行
air turbine	n气涡轮
air umbrella	n空中伞幕;空中支援
air valve	n通气管之活瓣
air vesicle	n水漂植物中的大气囊
air war	n空战
air wing	n陆(海)军所附属的空军部队
air wise	adj.有航空经验的
airy	adj.空气的;耸立空中的;通风的;幻想的，轻浮的;轻快的，优美的;装腔作势的
aisle	n通道;走廊;侧廊
aisled	adj.有狭长通路的
aislesitter	n坐在走进边位的人
aisne	n恩河(法国之一河流)
ait	n湖或河中的小岛
aitch	n英文字母H
aitchbone	n牛的臀骨(肉)
a jack of all trades is master of none	n样样通;样样不精
ajar	adj.adv.微开;半开;不调和(的，地)
ajiva	n与生命动力相反的物质
ajog	adj.adv.慢步而行(的，地)
ajuga	n一种草本植物
ajut	adj.突出的;伸出的
ajutage	n喷射管
ak	美国阿拉斯加邮递区号
akala	n生於夏威夷的一种灌木或攀藤
akebi	n(东亚的)一种攀藤
akee	n一种热带树
akela	n幼童军的领队人
akene	n[植]瘦果
akimbo	adj.adv.两手叉腰(的，地)
akin	adj.同族的;类似的;同类的
akinesia	n运动不能(身体司动作的机能损伤导致的病)
akinete	n藻类细胞附生的一种胞子与母细胞壁合为一体
akinetic	adj.运动不能的
akkadian	n阿卡达人(语);adj.阿卡达人(语)的
akkra	n[地]阿克拉(迦纳共和国首都)
akvabit	n北欧所产的一酒
al	似…的;适於…的
a la	…方式地;按…;依照
ala	n翼;翅;翼状部;翅状部;耳垂
alabama	n[地美]阿拉巴马州
alabaman	n阿拉巴马人
alabamanian	n阿拉巴马州的
alabandite	n[化]硫锰矿
alabaster	n雪花石膏;adj.雪花石膏制的;如雪花石膏般的;光滑雪白的
alabastron	n[古希罗]一种盛香油的长细颈瓶
a la carte	adj.adv.照菜单点
alack	int.哎呀(忧伤时所发之声);呜呼;哀哉
alackaday	int.呜呼;哀哉
alacritous	adj.快活的;活泼的;敏捷的
alacrity	n活泼;敏捷;快活
aladins lamp	n阿拉丁神灯
alae	pl.=ala
alai	n阿莱山脉(位於苏联)
alalia	n[医]言语不清;哑
alameda	n两旁有树的散步道路;林荫走道
alamode	n阿拉莫德薄黑绸
a la mode	adj.流行的;时髦的
alanine	n[化]丙胺酸
alar	adj.有翼的;翅状的;叶腋的;腋下的
alarm	n惊慌;警报;警钟;唤醒装置;v.警戒;惊动;紧急召集
alarmable	adj.会被惊恐的
alarm bells	n警钟;警报;危险信号
alarm clock	n闹钟
alarmedly	adv.惊恐地;惊慌地
alarm gauge	n锅炉上的警报器
alarm gun	n信号炮
alarming	adj.使人惊动的;令人担忧的;危险的
alarmingly	adv.令人担忧地
alarmism	n杞人忧天;惊扰旁人;大惊小怪
alarmist	n杞人忧天者;惊扰旁人者;大惊小怪者
alarm post	n紧急集合处
alarm reaction	n紧戒反应
alarm signal	n警报;警报信号
alarm whistle	n警笛
alarm word	n暗号
alarum	n惊慌;警报;警钟
alary	adj.有翼的;翅状的
alas	int.阿哟;噫(惊讶时所发之声)
alaska	n[地美]阿拉期加
alaskan	n阿拉期加人;adj.阿拉期加的
alastrim	n[医]亚天花
alate	adj.有翼的;有翼状物的;有角屋的
alated	=alate
alb	n[天]白麻布圣职长袍
albacore	n一种长鳃之鲔;大青花鱼
albania	n[地]阿尔巴尼亚
albanian	adj.阿尔巴尼亚(人，语)的
albany	n[地]奥尔班尼
albarrello	n一种陶器瓶子
albata	n一种铜，锌，镍的合金
albatross	n信天翁
albedo	n反照率
albedometer	n反照率测量仪
albeit	=though
albertite	n阿柏特柏油
albescent	adj.发白的;带白色的
albigenses	n清洁教教徒
albigensian	adj.清洁教教徒的
albigensianism	n清洁教教徒的教义
albiness	n女白化病者
albinism	n白化病;皮肤变白症
albino	n白化病者;白变种缺乏正常色素之动植物
albion	n英格兰的古名;英国
albite	n纳长石;苏打长石
alborg	n[地]亚伯(丹麦之海港)
album	n相簿;邮票簿;乐谱簿;唱片
albumen	n蛋白;蛋白质;胚乳
albumen plate	n一种软锌或铝印刷板;板上涂有感光化合物
albumin	n蛋白质;蛋白素;白蛋白
albuminate	n[化]白朊化物
albuminoid	n[化]赛白朊;adj.似白朊的
albuminose	=albuminous
albuminous	adj.含蛋白质的;多胚乳的
albuminuria	n蛋白尿(症)
albuquerque	n[地]新黑西哥州中部大城
alburnous	adj.[植]白木质的
alburnum	n[植]白材;白木质的;边料
alcahest	=alkahest
alcaide	n[西班牙]要塞司令;[西班牙]监狱吏
alcalde	n[西班牙]市长;村长
alcaligenes	n产硷杆菌属
alcayde	=alcaide
alcazar	n[西班牙]城堡;宫殿
alchemic	adj.炼金术的;炼丹术的
alchemical	=alchemic
alchemically	adv.炼金术地;炼丹术地
alchemist	n炼金术士;炼丹术家
alchemistic	adj.炼金术(士)的
alchemistical	=alchemistic
alchemistically	adj.炼金术(士)地
alchemize	v.用炼金术使之变质;使变化
alchemy	n炼金术;炼丹术
alclad	adj.金属片上涂有纯铝或铝合金的
alcohol	n酒精;乙醇;酒精饮料
alcohol burner	n酒精灯
alcoholic	n酒鬼;嗜酒者adj.酒精的;含酒精的
alcoholic aldehyde	n醇醛
alcoholic fermentation	n酒精发酵
alcoholicity	n酒精含量
alcoholism	n酒精中毒;醇中毒
alcoholization	n酒精饱和
alcoholize	v.醇化;化成酒精
alcoholometer	n酒精测验计
alcoholysis	n醇解
alcor	n北斗七星中的第五等星
alcoran	n可兰经(回教的经典)
alcoranist	n主张严守可兰经字面解释的人
alcove	n凹室;通至大厅的小室;凉亭
alcyonarian	n低等腔肠动物
aldan	n[地]阿尔丹河(位於苏联)
aldehyde	n乙醛
alder	n[植]赤杨属的桤木
alderfly	n蜻蜓科的昆虫
alderman	n市长议员;参事;市长助理
aldermanic	adj.市长议员的
aldermanry	n市府议员或参事之职位(选举区)
aldermanshiop	n市府议员或参事之职位
aldm	=alderman
aldohexose	n[化]己醛醣
aldol	n[化]丁间醇醛
aldose	n[化]醛醣
ale	n啤酒;乡间节目
aleak	adj.adv.漏水;湿气(的，地)
aleatory	adj.俟机运而定的;偶然的;侥幸的;赌博的
alecithal	adj.无蛋黄的;少蛋黄的
aleconner	n酒类检察员
alee	adj.adv.向下风;朝下风(的，地)
alegar	n麦芽醋;啤酒醋
alehouse	n麦酒店;酒馆
alemanni	n阿勒曼人(属日取曼部落)
alemannic	n阿勒曼人(语)的
alembic	n蒸汽机;昇华锅;净化物;起变化作用之物
aleph	n希伯来文的第一个字母
alert	n警惕;空袭警报;小心;adj.警惕的;灵敏的;vt.使警戒;发警报给...
alerty	adv.机警地
aleurone	n蛋白质微粒
aleuronic	adj.蛋白质微粒的
aleut	n阿留申人(语)
aleutian	n阿留申群岛之土人
aleutian island	n[地]阿留申群岛
alevin	n小鲑鱼;刚孵化的小鱼
alewife	n啤酒店女主人;鱼类的一种
alexandria	n亚历山大港
alexandrite	n翠绿宝石
alexia	n失读能力;失读症
alexin	n补体;防御素
alexipharmic	n解毒药;adj.解毒的
aleyard	n一种细长大杯口之杯子
alfalfa	n紫花首蓿
alfaqui	n回教神学家
alfine	adv.到头了
alforja	n鞍袋;颊囊;皮袋
alfresco	adj.adv.露天;户外(的，地)
alfur	n印尼东部的土着
alga	n海藻;藻类
algae	pl.=alga
algaecide	n除海藻的药
algal	n海藻;adj.像海藻的
algarroba	n角豆树;牧豆树;牧豆荚;稻子豆;角豆荚
algate	adv.始终如此的;然而
algebra	n代数学
algebraic	adj.代数学的;代数的;代数学上的
algebraical	=algebraic
algebraist	n代数学者;代数学家
algebraize	v.用代数解答
algeria	n[地]非洲阿尔及利亚
algerian	n阿尔及利亚人(语);adj.阿尔及利亚(人，语)的
algerine	adj.阿尔及利亚(人)的
algesia	n感觉过敏
algestimeter	n痛觉计
algetic	adj.痛的
algia	痛;…的病
algid	adj.发冷的;打寒颤的
algidity	n严寒;发冷
algiers	n阿尔及耳(阿尔及利亚首都)
algin	n藻胶
algoid	adj.藻质的;似藻的
algol	n[电脑]奥高语言
algolagnia	n虐待狂;被虐待狂
algology	n藻类学
algometer	n痛觉测验计
algometric	adj.痛觉测验计的
algometrical	=algometic
algometry	n痛觉计
algonquian	n阿尔冈京语系(北美印第安语言)
algonquin	n阿尔冈京族人(语)
algophagous	adj.以藻类为食的
algophobia	n不正常的恐惧感
algor	n(发烧前的)寒冷
algorism	n十进位计数法;阿拉伯数字系统
algorithm	n算法;规则系统
algorithmic	adj.算法的;规则系统的
algous	adj.藻类的
algraphy	n老式套色印刷术
alguazil	n警官(西班牙)
algum	n檀香树;檀香木
alhambresgue	adj.宫殿式的
a liar is not believed when he speaks the truth	n说谎的人说话也没人相信
alias	n别名;化名;假名;adv.别名叫;化名为
alibi	n不在现场的事实;辩解;托辞;v.辩解;托词闪脱
alibility	n有营养
alible	adj.有营养的
alice in wonderland	n爱丽丝梦游仙境;adj.似梦的;幻想的
alicyclic	adj.[化]脂环族的
alidade	n指方规装置;照准仪
alien	n外国人，侨民;adj.外国的;异国的;外来的;不同的，相反的;v.转让;让渡
alienability	n可让渡性;可疏远性
alienable	n可让与的;可疏远的
alienage	n外国人法律地位
alienate	v.使疏远;使不和;离间;让渡(财产)的所有权
alienation	n疏远;疏隔;发疯;让予;异化
alienative	adj.离间的;疏离的
alienator	n离间者;让渡人
alienism	n外国人的身份;精神病学;精神错乱
alienist	n精神病医生;精神病学家
alienor	n让渡人
alif	n阿拉伯文的第一个字母
aliform	n翼墙;八字墙;adj.翼状的;翅状的
alight	adj.烧着的;照着的;v.降落在;下车;着陆;发现;烧着;照着;碰遇
a light purse makes a heavy heart	n荷包轻心情就沈重
align	v.使成一线;使排成一行;排列;合作;列队;结盟
alignment	n排成直线;合作;调整;结盟
alike	adj.adv.相似;同样;相等(的，地)
alike， young and old	老少一样
aliment	n食物;滋养品;扶养(费);v.给...以食物;抚养
alimentary	adj.有关食物的;营养的;给予支持或扶助的
alimentary canal	n消化管;营养管
alimentary tract	n消化道;营养管
alimentation	n营养;营养法;扶养;赡养
alimentotheraphy	n营养疗法;食物疗法
alimony	n赡养费;生活费;扶养费
aline	v.使成一线;排成一行;排列;合作;列队;结盟
alinement	n排成直线;整顿;合作;结盟
a lion may come to be beholden to a mouse	n狮子可能有得感激老鼠的时候
aliped	adj.脚趾有翼状膜连接的
aliphatic	adj.脂肪的;脂肪质的
alipterion	n[古罗]澡堂可用搽油於身体上的房间
aliquant	n不能整除的数;adj.不能整除的;除不尽的
aliquot	n能整除的数;adj.能整除的;除得尽的
alist	adj.adv.船向一边倾斜(的，地)
alit	p.pp.=alight
alitalia	=Italian Airlines
a little knowledge is a dangerous thing	n一知半解最危险
a little learning is a dangerous thing	n一知半解最危险
aliturgical	adj.[宗]禁仪日的
aliunde	adv.采自其他资料地
alive	adj.(用於补助语)活着，活泼的，精神抖擞的;活动的;有效的;充满的;敏感，发觉
a living dog is better than a dead lion	n活狗胜过死狮
alizarin	n茜草色素;茜草红
alkahest	n万能溶剂
alkalemia	n硷血症
alkalescence	n微硷性;硷化
alkalescent	adj.微硷性的;硷化的
alkali	n[化]硷;硷质;强硷
alkalify	v.使成硷性;成为硷性
alkali metals	n硷金属
alkalimeter	n硷浓度测量器
alkaline	adj.硷属的;硷性的;含硷的;强硷的
alkaline earth	n硷土金属
alkaline earth metals	n硷土金属
alkaline reaction	n硷性反应
alkalinity	n硷度;硷性
alkali soil	n硷性土壤
alkalize	v.使成硷性;使硷化
alkaloid	n[生]硷;adj.硷的;硷性的;含硷的
alkalosis	n硷毒症
alkanet	n朱草;牛舌草
alkekengi	n冬季樱
alkene	n[化]烯属经;链烯
alkermes	n地中海区的一种酒
alkine	n炔属羟
alkoran	n可兰经(伊期兰教的经典)
alky	=alcohol
alkyl	n烷基;烃基
alkylation	n[化]烷化;烃化
alkylic	adj.[化]烷基属的;烷性的
alkyne	=alkine
all	pro.每;全体;n所有;adj.全部的;所有的;任何的;adv.全然地;十分
allah	n上帝;真主;阿拉(伊斯兰教的神)
all along	adv.自始至终;从头到尾
allamanda	n[植]黄蔓
all american	n全美代表选手;adj.全美国的;代表全美的
allantoic	adj.尿膜的;尿囊的
allantoid	n尿膜;尿囊;adj.尿膜的;尿囊的;腊肠状的
allantois	n尿膜;尿囊
all appearance	显然
allargando	adj.adv.逐渐减慢或渐强(的，地)
all around	n到处;adj.多方面的;多才艺的;广遍的;广泛的;广博的
all at once	突然地
all at sea	n茫然不知;迷惑
allay	vt.使镇静;使和缓;减轻;解忧
all but	几乎
all clear	n空袭解除的警报
all day	n整天;adj.全日的;全天的
all day long	整天
allecret	n半身薄铠甲
allegation	n断言;主张;陈述;推诿
allege	v.断言;坚持己见;主张;引用
alleged	adj.宣称的;所谓的;有嫌疑的
allegedly	adv.依其申述(主张)
allegiance	n归顺;忠诚;忠贞;忠实
allegiant	adj.忠心的;忠实的
allegoric	adj.寓意的;寓言的;讽喻的;比喻的
allegorical	=allegoric
allegorically	adv.寓意地;寓言地;讽喻地;比喻地
allegorist	n寓言家;讽喻家
allegorize	v.寓言化;以寓言诠释
allegory	n寓意;寓言;讽喻;象微;比喻
allegretto	n稍快板;adj.adv.稍快(的，地)
allegro	n快速的调子;快板;adj.adv.快速;愉快;活泼(的，地)
allele	n因突变而产生之遗传因子
allelic	adj.突变而产生之遗传因子的
allelomorph	n[生]对偶值
alleluia	n赞美上帝之圣诗;int.哈利路亚(赞美词)
allemande	n一种舞曲
all embracing	adj.包括一切的;全部的
allergen	n过敏原;变应素
allergenic	adj.引起过敏症的
allergic	adj.神经过敏的;过敏症的;具有强烈反感的
allergist	n过敏症专科医生
